Participant,SFreq,SRegVT,SRegML,SRegAP,SRegRV,StrRegVT,StrRegML,StrRegAP,StrRegRV,SymVT,SymML,SymAP,SymRV,corrSAG,corrFRO,corrHOR,rmsSAG,rmsFRO,rmsHOR,rmsVTRV,rmsMLRV,rmsAPRV,SPARCVT,SPARCML,SPARCAP,SPARCRV
1,119.575314533298,0.344340663978695,0.430349283592755,-0.158657316417116,0.18472889576574,0.946384624998342,0.941216112924861,0.962941441147088,0.960537669035628,93.407545756702,74.626103400581,279.667502981241,135.556002340568,-0.238160592231928,-0.247640574170674,-0.724496017356926,14.5160646023171,13.575553845722,7.70272240570125,0.85951829869685,0.269110579455815,0.43427862338592,-3.64633555114384,-10.0715961158161,-6.73415143939966,-3.70551868748414
2,120.862735338038,0.1861460522507,0.279512638286144,-0.287047961465273,0.146767192737635,0.973516456618708,0.862991179945892,0.983571594514464,0.979338259112709,135.953548041149,102.585667902527,366.624321788084,148.108892184617,0.0470616836024936,-0.199150656799693,-0.386394078331957,14.8564699048261,13.4626508487197,7.32739622261262,0.874270467080347,0.176582363492336,0.452068661706583,-3.456512074405,-9.21744267020672,-11.5679196467882,-3.47817601158071
3,121.624526912387,0.261993126109518,0.699970460661113,-0.358526314032913,0.219205663363455,0.962024382952169,0.865677662099559,0.984186799900539,0.973364036471699,114.558534825999,21.5149299964233,432.505623834824,126.628357647024,0.0467369610850637,-0.221909767562372,0.20481580218948,15.076218648067,13.3876819864416,7.7042354147326,0.863251372167974,0.155456591066186,0.479976138357477,-3.60155344845381,-8.20153269660722,-10.2518881361678,-3.50076974648129
4,114.78554613266,0.261504567242879,0.735799855233366,-0.320684196988252,0.100398613368214,0.956778992694745,0.873810620186845,0.974085463575235,0.968356162820455,114.256249505458,17.236991217941,400.867566555684,162.632178633526,0.0383836507149085,-0.415623499015873,-0.463380623156055,13.9620018350981,12.4895933846909,6.98600797576747,0.869369933017654,0.157444768907716,0.467989081855082,-3.37351636160935,-9.81439169460074,-9.31120823602186,-3.45965372782799
5,103.291354060372,0.246540430986479,0.294038501216876,-0.055058025383908,0.167691063554296,0.964602337402541,0.82642154139287,0.96073224129524,0.969841991275926,118.646720247431,95.7087593126801,225.261115450414,141.207608910513,0.1330677481464,0.0756820451524928,-0.0572972979102981,12.8983798453526,12.1620237028651,5.2817312713895,0.914853304444742,0.166067884551597,0.367955614428954,-3.90235135064271,-6.40113455631382,-8.70743026085947,-3.53255595292648
6,100.334781341701,0.201536470848688,0.265357281917048,-0.0688437834582687,0.0289054038047244,0.979458861663891,0.896569767483217,0.993463098613764,0.983813695064534,131.868225723791,108.754629870634,229.957979111852,188.701448424527,-0.0603382118217208,-0.337140402622679,0.430281387935823,13.4929312676131,12.7253118812782,5.64993824608355,0.911130211595307,0.177107245556126,0.372050270975432,-3.79136936116132,-5.2523862046042,-13.6784831827269,-3.49495009145313
7,112.460062648742,0.197085009815397,0.317176378529995,-0.12919503606616,0.156726553919348,0.976909276538375,0.900157893844168,0.992693532360633,0.985083783997065,133.478926132864,98.9553880496295,260.705440606629,145.39417842493,-0.0199119552636158,-0.139631907526651,-0.359274520535466,15.8887109367429,14.2365167844366,7.88725956497729,0.871507211791512,0.154534779533298,0.465018105895921,-3.85047903115631,-8.40842070548628,-13.8318829539619,-3.64333398992906
8,109.824576502817,0.157170889712832,0.252573995725832,-0.0843912238809521,0.0922524834298573,0.932363693471222,0.87612552765844,0.961446471335695,0.967982534949428,142.08879786911,110.946362555878,240.39854701276,165.712926706988,0.111554265058343,-0.26287362914158,-0.280183272791669,14.2536240185542,13.1628427839865,6.57110520670974,0.891204082022641,0.17790726576473,0.417063166641405,-3.72207828778807,-8.01925274469491,-10.9226132103064,-3.67986402244837
9,119.789304495187,0.288304621140634,0.405936505047337,-0.209986036558821,0.0964700802784182,0.949677428274015,0.731950152739798,0.962616577639799,0.957954705295799,107.052403559987,60.177213211486,312.968144109845,163.638073198194,-0.00220758278183793,-0.299764866864339,0.0328603986667496,15.0834752788163,13.475481571614,7.28904596827728,0.877608257493471,0.124912543215888,0.462494424925615,-3.55084612504431,-8.96152499572167,-10.7692431316491,-3.55772878024338
10,110.173623839501,0.243260845886088,0.481823028951918,-0.365681196809577,0.133594433315548,0.969198823923063,0.90005233400937,0.986729083984204,0.976268252490956,119.851195230947,60.6470886804829,439.64274717933,151.92060801033,0.08699769611015,-0.297096314430981,-0.64347139952362,13.9110468156981,12.9105797686745,6.39706488495002,0.892189701416554,0.187428506157128,0.410715039274407,-3.67376895348543,-5.60085600417008,-9.79278187479819,-3.48957643987007
