Participant,SFreq,SRegVT,SRegML,SRegAP,SRegRV,StrRegVT,StrRegML,StrRegAP,StrRegRV,SymVT,SymML,SymAP,SymRV,corrSAG,corrFRO,corrHOR,rmsSAG,rmsFRO,rmsHOR,rmsVTRV,rmsMLRV,rmsAPRV,SPARCVT,SPARCML,SPARCAP,SPARCRV
1,117.582843214001,0.360890510198338,0.286486926471341,-0.190463520162073,0.20606400066001,0.943600175848129,0.91611394702981,0.953214089374134,0.952973838024898,89.4127786746013,105.960320924355,303.026296394809,129.080108996976,-0.166903314917258,-0.255669826964583,-0.705806771647256,14.169629876474,13.1583804303728,7.04236239475625,0.875093544462695,0.227609824681267,0.426880887564975,-3.72552215597502,-11.3682900456993,-6.84161715133492,-3.74898472035308
2,119.601777203755,0.190712694451378,0.234232670903947,-0.311231982798141,0.152265141317735,0.954725271732134,0.843834201366476,0.975527047599056,0.964379065620031,133.588268955799,113.647423207366,391.769420708495,145.864835185323,0.0846840983993817,-0.29652566691932,-0.329611622145481,14.5917646046832,13.3050499800869,6.97798019485888,0.882096787964828,0.171832898530683,0.437481186829902,-3.41218596860113,-8.65030991719242,-10.3886456208465,-3.44430850914749
3,115.501904946313,0.354556640976817,0.475890822420058,-0.422423196419994,0.281429800812207,0.948153035434053,0.786790253695955,0.954650402989177,0.95414748946065,91.2377684911859,55.049625296799,533.556007447978,109.18552811829,0.182370427450297,-0.0860774267198232,0.20217901106447,13.5568416123623,12.4980206734754,5.91780328475515,0.901789810773544,0.140523030937523,0.408441593340891,-3.49906154643626,-8.71639752988073,-8.01974289820641,-3.43829832444659
4,115.304689642895,0.231397383293267,0.675354625215141,-0.369441724098961,0.11957905638312,0.937201518269181,0.841610367658625,0.966581758024398,0.953587695062894,120.892298907705,22.5179663116374,452.941483811798,155.378389624716,0.0150141965766556,-0.413735029874881,-0.498522950662316,14.0643363428694,12.6074856212906,7.00775538094833,0.870579594227147,0.15897880432035,0.465323573732272,-3.42647930106193,-9.04759019508294,-8.97843647755283,-3.48897566133208
5,105.133386139223,0.263007679361263,0.358711240467911,-0.103411481573451,0.175610603425123,0.9615111057948,0.77766564855453,0.954415556100079,0.965486434574759,114.2112666419,73.8070939035222,249.488210329762,138.548444636375,0.0973338881756664,0.0313787325050149,-0.238389348925176,13.0271087778955,12.2171300386892,5.53952586924137,0.908005767218785,0.170920118027065,0.382335030921238,-3.92958596886629,-6.0692140493248,-7.73170799356828,-3.65012830062757
6,101.22957526516,0.197433757825091,0.220118066746449,-0.0866268894149345,0.0381717958498737,0.966900895999034,0.865084325383015,0.98272708222814,0.974581929463847,132.290180106346,118.97280790231,238.912641462707,185.000386143779,-0.0706873664902956,-0.384322709189487,0.468590773527053,13.539100492268,12.7609700057662,5.76913314452213,0.908054389211305,0.183813937501474,0.376249314893413,-3.81748449357836,-5.3658518651903,-13.2303159080117,-3.54156522999729
7,114.011892452514,0.156126595128644,0.301653781533134,-0.131811179605205,0.162271304746819,0.971424095311006,0.850101627056497,0.985277549427647,0.981587639684011,144.896597784982,97.2740393009585,262.389049275325,143.388989277755,-0.0521446559159667,-0.224448483618068,-0.314584988716717,15.9528791335616,14.2385749355517,7.85489196316567,0.87308430125927,0.138533128101169,0.467265109256252,-3.84462363129344,-7.41521643450757,-13.5556050955953,-3.65617519517087
8,115.422882931969,0.157776376273037,0.218388702556167,-0.198572660007966,0.0847334506044926,0.934111551619326,0.865830807355608,0.949300559580081,0.955125189902692,142.776256525464,120.484986062812,311.522994242346,167.819616274499,-0.0525055891753295,-0.242571326649136,-0.314781517121593,14.8469170983006,13.5620235456689,7.39597396254199,0.872773818426576,0.199333164753287,0.445139694259275,-3.6852398341065,-9.92272893174846,-10.1658051249503,-3.59251509700399
9,118.338014699262,0.333988694608077,0.365748237672211,-0.22394487088823,0.12170657780382,0.9273472907957,0.649086365794957,0.949886855133998,0.94050954347033,94.4809718602454,60.6891167809234,325.316807565555,154.367770531674,0.0768411723947423,-0.234824521135595,-0.218734062969522,14.5634830758984,13.1780955877209,6.66583213636181,0.89081675856302,0.118224715203165,0.438149890160925,-3.41784431026853,-10.7943391498571,-10.1587115658368,-3.45401619316375
10,106.190767710612,0.213470195257082,0.39981878032118,-0.308214801468709,0.111051675129696,0.959046261382167,0.85633985910439,0.966334848973446,0.965853748746156,127.334352462862,73.2649034939454,391.440230462994,158.843362395288,0.0943154672542091,-0.314366948758007,-0.516055705358961,13.1038663923858,12.3743168004815,5.52883694100137,0.909949266863592,0.183768960236639,0.371497480126004,-3.7365361211807,-5.73402389603025,-8.54669197228181,-3.46310590967395
