Participant,SFreq,SRegVT,SRegML,SRegAP,SRegRV,StrRegVT,StrRegML,StrRegAP,StrRegRV,SymVT,SymML,SymAP,SymRV,corrSAG,corrFRO,corrHOR,rmsSAG,rmsFRO,rmsHOR,rmsVTRV,rmsMLRV,rmsAPRV,SPARCVT,SPARCML,SPARCAP,SPARCRV
1,116.589176095607,0.284558454071052,0.340205755251877,-0.0940390620952784,0.169046937258044,0.965011331817946,0.944248221422318,0.971723832211655,0.970333498925516,108.972377778268,94.3519635069103,243.888874118042,140.746961846921,-0.155370075885553,-0.288826008846196,-0.715182177133159,13.8025165645874,12.865969082033,6.56401355105768,0.885504202891024,0.21301816394239,0.412814558703174,-3.66391709317944,-11.0166621432686,-7.38847569138897,-3.66375205514823
2,123.395195230302,0.122420508846107,0.342763970085163,-0.297139214487768,0.166572324627069,0.975243825015432,0.91461880007498,0.988644229318448,0.982696323573659,155.535612649872,91.5846345764333,373.15034379653,142.167915535259,0.0819974123579775,-0.225149460745722,-0.389177670219387,14.8846798403937,13.4860110266723,7.28188955221421,0.876180470167269,0.171084203820551,0.450440459659831,-3.48561309431747,-9.2492516789794,-11.1420746195398,-3.46446574509824
3,118.883646979424,0.249484959926863,0.567502784628371,-0.368357682353242,0.239266517353172,0.955262898123958,0.869960260438852,0.973713610853664,0.96854732380853,117.433928196077,44.4227074699719,457.403522492513,120.920638780781,0.164842698065565,-0.0161927075440884,0.220686347069517,13.9460151127656,12.7560801895663,6.26867553893463,0.895676975238258,0.137738246609502,0.421754441276956,-3.49577709637826,-8.32989680272417,-9.28918580276185,-3.41944083592102
4,114.443906896737,0.199349430458978,0.676402983908946,-0.324658719928543,0.0815063671278858,0.953976501368726,0.894003982660684,0.982873360892343,0.970204672487514,130.950316048471,28.038037415574,398.540037534609,169.091168071572,0.0349697128571772,-0.40294389845661,-0.566587659739872,13.8310706633075,12.5002409305912,6.70089036451307,0.878161813278932,0.158459977041676,0.451217712418429,-3.35547174526514,-8.97995159833935,-9.79415179878731,-3.42938022769742
5,106.713670754258,0.217002357602274,0.377780120231785,-0.155734019239606,0.147941827420539,0.968654922394168,0.857318070871788,0.968828989531506,0.971353583348252,126.826596359382,78.5172185562899,279.718183427383,147.101610385228,0.0883256259144788,0.109426859007584,-0.202571443430298,13.0337990551262,12.21049099056,5.54035346552859,0.907990714880063,0.168231726773374,0.383547859002239,-3.89440895707903,-6.01418064065825,-7.87057314792214,-3.54711342652419
6,101.558542762517,0.174188971381167,0.233539977010996,-0.0743941657650288,0.0118277614226813,0.972589427050668,0.90894212445859,0.988868242011918,0.979255330934802,139.378755244657,118.526021130752,232.788761572397,195.396836134674,-0.0746219568166131,-0.376798495123653,0.411050048373101,13.4775298758567,12.7251376540859,5.62638445127117,0.911741819147535,0.178393947990775,0.369937708281597,-3.8094537657153,-5.41279705876649,-13.1283513404578,-3.50239791573676
7,115.86541269934,0.189505739431514,0.330571228385032,-0.193478331308439,0.188876847741492,0.976226874960811,0.916225644670958,0.995635833535571,0.984530905596314,135.18425157679,95.6594871928975,297.032568382196,135.715454055629,-0.006375704560649,-0.115882230086618,-0.279178364595708,16.0352124839667,14.371283085332,7.97496216271075,0.87108106318178,0.157065278388804,0.465113360777468,-3.74511466821205,-8.39746723874366,-12.5626023807749,-3.6425472400405
8,118.032439180977,0.122591774943546,0.180819084183343,-0.243803671918784,0.054765198166149,0.960661029768064,0.923421628291545,0.973982591318106,0.974218354970539,155.05112457549,135.05829714536,335.637478857343,179.143934006282,-0.00446208862547457,-0.214722791465281,-0.385921779070577,15.2563505142607,14.0010599696892,7.52319874261281,0.875702005032602,0.202136251187065,0.438304007803736,-3.71919092084611,-8.57729187842653,-11.8101264860965,-3.69846706427147
9,117.468082023972,0.251713193228798,0.292620964147756,-0.160098923181085,0.0760397263658427,0.941845485323647,0.789341670802999,0.967494451934785,0.950084133707283,115.951743106464,96.4671563327944,280.540286132594,170.553128581557,0.111350834950853,-0.333419048998479,-0.296489817120242,14.2970196851658,12.9193789932655,6.50561589440019,0.891889609095758,0.108274243595423,0.438678233876307,-3.35176748988837,-11.9474353771068,-10.8438764831733,-3.44148921168147
10,110.596994678425,0.19007738132984,0.485391220323867,-0.387992912694082,0.126987220085708,0.958371915892891,0.912830652475542,0.977748560554794,0.968674324643304,133.90169124683,61.0200929290126,465.203829398586,153.765491720647,0.121933715769565,-0.320729495907095,-0.629321574275202,13.7102688898515,12.7868328255322,6.13957190646217,0.897952497017229,0.184372608925618,0.399433902777102,-3.50754174414688,-5.37371365404216,-9.00651479836966,-3.42966448163713
11,106.3549517633,0.136351855838926,0.38680886935358,-0.0730516554294973,0.0874677977422214,0.959304517544386,0.933437930817893,0.961154797407121,0.964826883026867,148.521136523148,86.4236103023537,228.589631072374,166.681119413455,-0.18441076630514,-0.174661071409274,-0.68542923954699,13.6803080043803,13.0129134188888,5.64197532526981,0.914351297912874,0.189943791494633,0.357413006505834,-3.81332843456099,-9.21880383050772,-14.1058819296317,-3.78139665855263
12,120.717148397821,0.179093881666761,0.415194463097821,-0.211912807273336,0.207229140997558,0.937894174211083,0.817049463335134,0.943372558874199,0.947282159418794,134.179642395415,73.6613422321417,305.666638937371,126.491784049928,-0.0825192089765529,-0.158357868487224,-0.0780851177559463,14.8588825527561,13.4041270348527,7.06489400639215,0.882302830865332,0.1402859583943,0.448837636374346,-3.46195863999796,-10.0550672859305,-10.6849268851217,-3.58934018450396
13,114.729928270439,0.171237404716971,0.380647117863197,-0.121227137932301,0.0811658511343255,0.96195151420325,0.911127606199802,0.973029018625302,0.971276878533745,139.368236151954,82.5139531043413,257.42551693337,169.273954802782,-0.134724013668998,-0.028274983529311,-0.475824026944463,14.3447340768629,13.0405273797759,6.64932973939979,0.888586398868004,0.142455621591632,0.435780252929169,-3.87910303643056,-9.61748283260686,-10.8507180599917,-3.67756901081686
14,109.34345026533,0.190569242202031,0.323543318046959,-0.113552587114537,0.0288750262222839,0.951526765950894,0.915259704010867,0.974572325205194,0.966261322257353,133.276883569093,96.4932156254199,253.621359531115,188.584182934608,0.0289361711021054,0.0336442440085289,0.419778720139086,14.9957296937465,13.8783456548184,6.85965579801609,0.893000297091254,0.178590849661899,0.412838737731661,-3.62792718934086,-11.7232355828254,-12.1440152252899,-3.48940841018484
15,127.564246839362,0.0710051853721112,0.285942242602582,0.126792869191268,0.15805827822058,0.328148116093946,0.144452489867756,0.340603062379437,0.347325308867738,70.9999762001841,796.063520331982,72.4256920784,99.4967621751553,-0.053063669230912,0.169929611622559,-0.528396886794792,13.9702476506843,13.0470203123176,6.09882237019457,0.902900742469555,0.174422289423385,0.392741935156666,-3.70241463207771,-11.2392932562532,-14.1904595778212,-3.51587302638021
